Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
0,0,553,442,874,89.4976
0,1,802,143,2627,269.0048
0,2,766,269,3308,338.73920000000004
0,3,638,380,2590,265.216
0,4,1170,629,1158,118.5792
0,5,942,424,948,97.07520000000001
0,6,345,388,2287,234.18880000000001
0,7,588,540,1171,119.91040000000001
0,8,386,340,1227,125.6448
0,9,222,512,789,80.7936
0,10,939,543,1739,178.0736
0,11,871,122,6175,632.32
0,12,377,291,1507,154.3168
0,13,927,405,912,93.3888
0,14,995,483,2908,297.7792
0,15,182,557,3939,403.35360000000003
0,16,299,482,3071,314.47040000000004
0,17,704,217,1064,108.95360000000001
0,18,501,304,1632,167.1168
0,19,874,322,924,94.61760000000001
0,20,663,175,1060,108.54400000000001
0,21,271,324,2073,212.2752
0,22,1248,676,931,95.3344
0,23,907,355,1167,119.50080000000001
0,24,434,154,1668,170.8032
0,25,994,268,1211,124.0064
0,26,789,537,1464,149.9136
0,27,632,491,4362,446.66880000000003
0,28,199,167,1572,160.9728
0,29,707,396,1747,178.89280000000002
0,30,769,172,1299,133.01760000000002
0,31,816,285,1169,119.7056
0,32,700,527,1579,161.6896
0,33,1218,656,2771,283.7504
1,0,803,141,1778,182.0672
1,1,768,263,2974,304.5376
1,2,637,380,3090,316.416
1,3,940,425,926,94.8224
1,4,582,541,1298,132.9152
1,5,385,339,1284,131.48160000000001
1,6,935,541,1696,173.6704
1,7,666,178,1015,103.936
1,8,873,120,6256,640.6144
1,9,993,479,2656,271.9744
1,10,701,518,1777,181.9648
1,11,181,555,4431,453.7344
1,12,299,482,3334,341.40160000000003
1,13,272,323,1762,180.4288
1,14,501,300,1710,175.104
1,15,916,351,907,92.8768
1,16,345,388,2299,235.41760000000002
1,17,1184,628,1111,113.7664
1,18,797,577,2538,259.8912
1,19,434,152,1469,150.4256
1,20,976,256,1444,147.8656
1,21,785,532,1532,156.8768
1,22,630,490,5028,514.8672
1,23,198,163,1657,169.67680000000001
1,24,705,394,2777,284.3648
1,25,771,171,1566,160.35840000000002
1,26,750,360,776,79.4624
1,27,222,511,780,79.872
1,28,816,285,1152,117.96480000000001
2,0,580,432,1639,167.83360000000002
2,1,643,445,732,74.9568
2,2,802,144,1926,197.22240000000002
2,3,665,179,990,101.376
2,4,642,385,1048,107.3152
2,5,937,427,891,91.2384
2,6,570,544,1298,132.9152
2,7,806,236,1122,114.89280000000001
2,8,385,335,938,96.05120000000001
2,9,219,509,903,92.4672
2,10,382,366,751,76.9024
2,11,813,185,888,90.9312
2,12,932,537,1720,176.12800000000001
2,13,1195,627,1050,107.52000000000001
2,14,767,262,1753,179.5072
2,15,695,153,1319,135.06560000000002
2,16,997,483,2684,274.8416
2,17,626,492,4845,496.12800000000004
2,18,703,512,1864,190.8736
2,19,181,560,4275,437.76000000000005
2,20,391,197,1001,102.50240000000001
2,21,708,223,1247,127.6928
2,22,291,409,993,101.6832
2,23,503,299,1851,189.54240000000001
2,24,274,411,934,95.64160000000001
2,25,375,286,764,78.23360000000001
2,26,271,327,1638,167.7312
2,27,874,141,961,98.4064
2,28,904,156,732,74.9568
2,29,528,533,874,89.4976
2,30,955,402,878,89.9072
2,31,749,363,673,68.9152
2,32,580,397,3096,317.03040000000004
2,33,435,152,1265,129.536
2,34,962,250,1129,115.6096
2,35,782,531,1464,149.9136
2,36,200,162,1168,119.6032
2,37,706,392,2766,283.2384
2,38,769,168,1326,135.7824
2,39,816,285,1039,106.3936
2,40,925,348,921,94.3104
3,0,643,447,716,73.3184
3,1,814,143,1105,113.152
3,2,666,182,896,91.7504
3,3,699,180,714,73.1136
3,4,906,157,735,75.26400000000001
3,5,934,428,829,84.8896
3,6,556,550,1093,111.92320000000001
3,7,813,183,862,88.2688
3,8,383,332,846,86.63040000000001
3,9,212,506,848,86.8352
3,10,381,364,732,74.9568
3,11,641,383,1683,172.3392
3,12,930,534,1665,170.496
3,13,768,262,2089,213.9136
3,14,969,404,756,77.4144
3,15,898,117,874,89.4976
3,16,708,508,1076,110.1824
3,17,183,567,4040,413.696
3,18,391,197,966,98.9184
3,19,709,231,1014,103.8336
3,20,290,410,904,92.56960000000001
3,21,873,318,823,84.2752
3,22,375,286,687,70.3488
3,23,715,211,614,62.8736
3,24,839,124,820,83.968
3,25,281,320,875,89.60000000000001
3,26,260,335,1305,133.632
3,27,875,142,988,101.1712
3,28,891,216,1034,105.8816
3,29,748,365,663,67.8912
3,30,708,426,1164,119.1936
3,31,435,153,1256,128.61440000000002
3,32,948,247,916,93.7984
3,33,995,492,2736,280.1664
3,34,1246,661,857,87.7568
3,35,624,478,3969,406.42560000000003
3,36,843,90,944,96.6656
3,37,200,159,987,101.06880000000001
3,38,707,386,4023,411.95520000000005
3,39,767,165,1141,116.83840000000001
3,40,778,530,1400,143.36
3,41,696,152,1139,116.6336
3,42,816,285,1011,103.52640000000001
3,43,789,157,2066,211.5584
3,44,936,344,840,86.016
