Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
0,1,206,284,1125,118.098
0,2,24,139,1314,137.938464
0,3,13,103,753,79.046928
0,4,461,13,1031,108.230256
0,5,567,137,2060,216.25056
0,6,631,86,1312,137.728512
0,7,682,51,961,100.881936
0,8,606,234,1375,144.342
0,9,679,289,1168,122.611968
0,10,807,305,955,100.25208
0,11,361,345,1272,133.529472
0,12,512,412,1400,146.9664
0,13,448,395,1192,125.131392
0,14,409,410,1063,111.589488
0,15,469,430,1215,127.54584
0,16,509,485,1074,112.744224
1,1,211,274,1126,118.202976
1,2,36,134,1246,130.800096
1,3,8,101,415,43.56504
1,4,452,19,1296,136.048896
1,5,572,137,2127,223.283952
1,6,625,80,1276,133.949376
1,7,691,49,943,98.992368
1,8,602,223,1363,143.082288
1,9,684,274,1150,120.7224
1,10,804,295,964,101.196864
1,11,352,339,1241,130.275216
1,12,512,399,1374,144.237024
1,13,445,396,1185,124.39656
1,14,407,409,1074,112.744224
1,15,477,430,1218,127.860768
1,16,505,476,1073,112.639248
2,1,217,267,1093,114.738768
2,2,47,130,1196,125.551296
2,3,3,102,161,16.901136
2,4,442,31,1359,142.662384
2,5,577,141,2174,228.217824
2,6,617,76,1286,134.999136
2,7,699,50,958,100.567008
2,8,599,217,1410,148.01616
2,9,686,266,1165,122.29704
2,10,802,286,936,98.257536
2,11,341,333,1218,127.860768
2,12,508,389,1378,144.656928
2,13,437,400,1205,126.49608
2,14,400,413,1059,111.169584
2,15,488,430,1152,120.932352
2,16,499,470,1093,114.738768
3,1,224,257,1085,113.89896
3,2,59,125,1193,125.236368
3,4,432,41,1322,138.778272
3,5,582,143,2138,224.438688
3,6,609,71,1255,131.74488
3,7,708,47,950,99.7272
3,8,600,212,1375,144.342
3,9,689,252,1111,116.628336
3,10,800,275,953,100.042128
3,11,331,326,1266,132.899616
3,12,504,377,1354,142.137504
3,13,429,401,1201,126.076176
3,14,389,415,1131,118.727856
3,15,502,424,1166,122.402016
3,16,496,463,1046,109.804896
4,1,231,250,1049,110.119824
4,2,69,122,1051,110.329776
4,4,424,54,1299,136.363824
4,5,586,146,2226,233.676576
4,6,600,67,1303,136.783728
4,7,715,45,932,97.837632
4,8,602,211,1371,143.922096
4,9,690,242,1106,116.103456
4,10,796,266,1015,106.55064
4,11,322,321,1240,130.17024
4,12,494,366,1369,143.712144
4,13,415,404,1275,133.8444
4,14,371,421,1111,116.628336
4,15,512,418,1164,122.192064
4,16,493,460,1066,111.904416
5,1,241,242,1057,110.959632
5,2,79,117,1039,109.070064
5,4,417,63,1382,145.076832
5,5,590,146,2220,233.04672
5,6,592,64,1307,137.203632
5,7,722,43,963,101.091888
5,8,603,219,1376,144.446976
5,9,692,229,1127,118.307952
5,10,791,258,1096,115.053696
5,11,311,314,1231,129.225456
5,12,487,357,1402,147.176352
5,13,399,404,1290,135.41904
5,14,357,426,1063,111.589488
5,15,522,411,1152,120.932352
5,16,489,458,1028,107.915328
6,1,253,232,1030,108.12528
6,2,89,113,943,98.992368
6,4,407,74,1392,146.126592
