Global_Frame_ID,Object_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2
0,1,1511,511,1137,119.357712
0,2,1376,474,1680,176.35968
0,3,1257,588,1166,122.402016
0,4,1723,860,2223,233.361648
0,5,1826,995,2002,210.161952
0,6,1663,1085,2433,255.406608
0,7,1756,1178,2211,232.101936
0,8,1584,1227,1708,179.299008
0,9,1658,1337,1609,168.906384
0,10,1631,1524,2251,236.300976
1,1,1517,523,1299,136.363824
1,2,1382,484,1517,159.248592
1,3,1242,594,1375,144.342
1,4,1707,869,2341,245.748816
1,5,1815,992,1815,190.53144
1,6,1669,1089,2301,241.549776
1,7,1738,1192,2059,216.145584
1,8,1602,1227,1713,179.823888
1,9,1648,1326,1316,138.148416
1,10,1670,1527,2149,225.593424
2,1,1521,526,1241,130.275216
2,2,1382,488,1581,165.967056
2,3,1241,586,1287,135.104112
2,4,1699,871,2115,222.02424
2,5,1850,1010,1832,192.316032
2,6,1659,1084,2251,236.300976
2,7,1746,1180,1917,201.238992
2,8,1578,1223,1788,187.697088
2,9,1651,1342,1536,161.243136
2,10,1682,1526,2191,230.002416
3,1,1496,511,1241,130.275216
3,2,1341,498,1738,182.448288
3,3,1245,582,1171,122.926896
3,4,1713,868,2259,237.140784
3,5,1870,1021,1797,188.641872
3,6,1654,1082,2249,236.091024
3,7,1744,1179,2019,211.946544
3,8,1548,1214,1735,182.13336
3,9,1656,1346,1707,179.194032
3,10,1655,1517,1681,176.464656
4,1,1499,510,1236,129.750336
4,2,1335,501,1902,199.664352
4,3,1216,589,1152,120.932352
4,4,1720,865,2264,237.665664
4,5,1858,1019,1691,177.514416
4,6,1654,1083,2232,234.306432
4,7,1734,1212,2067,216.985392
4,8,1566,1218,1889,198.299664
4,9,1661,1340,1788,187.697088
4,10,1650,1509,1878,197.144928
5,1,1514,515,1361,142.872336
5,2,1347,490,1898,199.244448
5,3,1220,587,1262,132.479712
5,4,1693,865,2010,211.00176
5,5,1838,1029,1726,181.188576
5,6,1657,1085,2204,231.367104
5,7,1732,1213,2160,226.74816
5,8,1549,1213,1804,189.376704
5,9,1626,1377,1837,192.840912
5,10,1692,1502,2007,210.686832
6,1,1501,510,1270,133.31952
6,2,1332,509,1988,208.692288
6,3,1229,587,1128,118.412928
6,4,1697,863,2015,211.52664
6,5,1861,1057,1653,173.525328
6,6,1640,1070,1743,182.973168
6,7,1733,1189,1963,206.067888
6,8,1521,1188,1780,186.85728
6,9,1622,1385,1889,198.299664
6,10,1683,1510,1729,181.503504
7,1,1481,509,1310,137.51856
7,2,1308,544,1957,205.438032
7,3,1201,592,1226,128.700576
7,4,1708,865,2370,248.79312
7,5,1855,1059,1618,169.851168
7,6,1637,1070,1836,192.735936
7,7,1731,1211,2083,218.665008
7,8,1524,1190,1595,167.43672
7,9,1628,1380,1861,195.360336
7,10,1678,1513,1724,180.978624
8,1,1496,511,1304,136.888704
8,2,1314,533,1920,201.55392
8,3,1195,593,1167,122.506992
8,4,1696,864,2656,278.816256
8,5,1841,1050,1680,176.35968
8,6,1651,1084,2434,255.511584
8,7,1735,1233,2045,214.67592
8,8,1519,1193,1743,182.973168
8,9,1573,1396,1759,184.652784
8,10,1697,1493,1752,183.917952
9,1,1496,510,1328,139.408128
9,2,1312,533,1954,205.123104
9,3,1208,589,1201,126.076176
9,4,1673,857,2349,246.588624
9,5,1848,1078,1409,147.911184
9,6,1641,1072,1566,164.392416
9,7,1731,1221,1696,178.039296
9,8,1498,1172,1351,141.822576
9,9,1558,1401,1709,179.403984
9,10,1712,1468,1657,173.945232
10,1,1472,511,1403,147.281328
10,2,1307,582,1796,188.536896
10,3,1197,587,1032,108.335232
10,4,1677,853,2266,237.875616
10,5,1846,1082,1436,150.745536
10,6,1635,1070,1732,181.818432
10,7,1728,1209,2013,211.316688
10,8,1499,1172,1160,121.77216
10,9,1568,1394,1672,175.519872
10,10,1708,1478,1707,179.194032
11,1,1482,508,1395,146.44152
11,2,1306,590,1397,146.651472
11,3,1180,596,1117,117.258192
11,4,1685,852,2124,222.969024
11,5,1838,1070,1620,170.06112
11,6,1636,1072,1730,181.60848
11,7,1740,1234,1894,198.824544
11,8,1496,1173,1315,138.04344
11,9,1520,1394,1566,164.392416
11,10,1708,1481,1681,176.464656
12,1,1491,506,1319,138.463344
12,2,1305,585,1444,151.585344
12,3,1188,592,1207,126.706032
12,4,1657,848,2248,235.986048
12,5,1844,1075,1753,184.022928
12,6,1638,1080,1745,183.18312
12,7,1744,1243,1689,177.304464
12,8,1481,1152,1184,124.291584
12,9,1538,1393,1364,143.187264
12,10,1720,1430,1635,171.63576
13,1,1475,514,1455,152.74008
13,2,1306,602,1340,140.66784
13,3,1197,588,1056,110.854656
13,4,1649,845,2129,223.493904
13,5,1858,1097,1668,175.099968
13,6,1644,1083,1694,177.829344
13,7,1738,1237,1423,149.380848
13,8,1476,1149,1050,110.2248
13,9,1543,1394,1445,151.69031999999999
13,10,1719,1420,1603,168.276528
14,1,1470,514,1353,142.032528
14,2,1310,612,962,100.986912
14,3,1178,596,949,99.622224
14,4,1658,845,2039,214.046064
14,5,1854,1088,1620,170.06112
14,6,1630,1070,2111,221.604336
14,7,1751,1245,1654,173.630304
14,8,1476,1161,1264,132.689664
14,9,1515,1395,1549,162.607824
14,10,1713,1439,1621,170.166096
15,1,1483,506,1381,144.971856
15,2,1317,615,977,102.561552
15,3,1176,597,1063,111.589488
15,4,1658,843,2040,214.15104
15,5,1851,1083,1778,186.647328
15,6,1622,1064,2318,243.334368
15,7,1763,1251,1770,185.80752
15,8,1471,1145,1092,114.633792
15,9,1523,1392,1403,147.281328
15,10,1718,1428,1785,187.38216
16,1,1480,508,1459,153.159984
16,2,1311,610,918,96.367968
16,3,1192,592,1174,123.241824
16,4,1630,834,2251,236.300976
16,5,1843,1135,1828,191.896128
16,6,1622,1066,1818,190.846368
16,7,1759,1249,1560,163.76256
16,8,1472,1137,1018,106.865568
16,9,1519,1381,1089,114.318864
16,10,1732,1386,1699,178.354224
17,1,1467,527,1441,151.270416
17,2,1312,609,1178,123.661728
17,3,1174,600,883,92.693808
17,4,1626,834,2365,248.26824
17,5,1839,1141,1902,199.664352
17,6,1628,1070,2267,237.980592
17,7,1760,1249,1632,171.320832
17,8,1471,1138,883,92.693808
17,9,1502,1352,1414,148.436064
17,10,1726,1390,1521,159.668496
18,1,1471,519,1412,148.226112
18,2,1322,612,1306,137.098656
18,3,1166,607,1251,131.324976
