epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18162,4.83096,3.69487,2.41422,0.00617,0.02279,0.00315,0.00067,4.09692,3.59623,1.82007,0.00016,0.00016,0.00016
2,10.1262,3.21453,3.21076,1.34613,0.04358,0.16107,0.03306,0.01374,2.57073,3.4552,1.0406,0.000333268,0.000333268,0.000333268
3,11.6269,2.97518,2.77437,1.17195,0.03242,0.1198,0.02157,0.00975,2.48464,3.47119,1.27244,0.000499408,0.000499408,0.000499408
4,12.8625,2.80388,2.5972,1.1446,0.03317,0.12257,0.02207,0.00902,2.43388,3.39685,1.44706,0.00065842,0.00065842,0.00065842
5,14.0919,2.65478,2.45461,1.09476,0.04992,0.18448,0.03362,0.01275,2.65905,3.28521,1.18594,0.000810304,0.000810304,0.000810304
6,15.3837,2.65448,2.33611,1.056,0.04842,0.17893,0.03509,0.01347,2.45035,3.09305,1.08972,0.00095506,0.00095506,0.00095506
7,16.637,2.61622,2.29681,1.05314,0.053,0.19587,0.03945,0.01441,2.2931,2.89462,1.02288,0.00109269,0.00109269,0.00109269
8,18.1666,2.5093,2.19351,1.04299,0.05633,0.20819,0.03946,0.01647,2.76029,2.71052,1.07434,0.00122319,0.00122319,0.00122319
9,19.5452,2.63117,2.19702,1.04854,0.04483,0.16569,0.03606,0.01094,3.64189,2.66994,1.21991,0.00134656,0.00134656,0.00134656
10,20.9108,2.57863,2.14744,1.02759,0.05767,0.21312,0.08217,0.04067,2.54486,2.76307,1.07906,0.0014628,0.0014628,0.0014628
11,22.1208,2.55057,2.10606,1.01342,0.05617,0.20758,0.09276,0.05448,2.56709,2.72768,1.1222,0.00157192,0.00157192,0.00157192
12,23.6363,2.51802,2.05538,1.01943,0.05807,0.20634,0.09904,0.05053,2.8754,3.03266,1.23013,0.0015644,0.0015644,0.0015644
13,24.8937,2.50438,2.03126,1.02082,0.30412,0.14321,0.10326,0.05766,2.70077,3.01395,1.15729,0.0015248,0.0015248,0.0015248
14,26.4321,2.45858,2.00303,1.00166,0.43781,0.11968,0.10321,0.05869,2.56143,2.66136,1.06605,0.0014852,0.0014852,0.0014852
15,28.078,2.51333,1.97659,1.00337,0.42393,0.13859,0.10843,0.06688,2.55953,2.29942,1.05596,0.0014456,0.0014456,0.0014456
16,29.8092,2.314,1.98672,1.00355,0.4616,0.13243,0.12056,0.0812,2.07976,2.13652,0.97538,0.001406,0.001406,0.001406
17,31.378,2.37022,1.96468,0.99866,0.42967,0.14844,0.14397,0.08471,2.17967,2.04262,0.98606,0.0013664,0.0013664,0.0013664
18,32.722,2.53211,1.93933,0.9913,0.44506,0.13767,0.11717,0.07474,2.19588,2.32599,0.99374,0.0013268,0.0013268,0.0013268
19,34.0782,2.39676,1.92386,0.99853,0.44128,0.13378,0.10688,0.06843,2.18517,2.30407,0.99468,0.0012872,0.0012872,0.0012872
20,35.7126,2.27644,1.87917,0.98431,0.42551,0.14567,0.1242,0.08244,2.14798,2.22664,0.99556,0.0012476,0.0012476,0.0012476
21,37.0389,2.37775,1.92618,1.00012,0.43925,0.14089,0.12822,0.07847,2.17793,2.23037,0.99089,0.001208,0.001208,0.001208
22,38.2625,2.48812,1.91071,0.9912,0.4185,0.14536,0.13476,0.07548,2.30286,2.2742,0.99987,0.0011684,0.0011684,0.0011684
23,39.5061,2.39566,1.87974,0.98768,0.35938,0.15276,0.14547,0.09521,2.02647,1.98653,0.9707,0.0011288,0.0011288,0.0011288
24,40.8688,2.39904,1.88616,0.99613,0.39706,0.14536,0.11538,0.05533,2.92229,2.2524,1.08332,0.0010892,0.0010892,0.0010892
25,42.0447,2.27193,1.87939,0.98012,0.4227,0.14536,0.12993,0.07575,2.41509,2.26763,1.02384,0.0010496,0.0010496,0.0010496
26,43.2044,2.29704,1.85306,0.97896,0.43759,0.14721,0.14397,0.09055,2.14073,2.23825,1.00305,0.00101,0.00101,0.00101
27,44.3989,2.21874,1.84422,0.9889,0.39076,0.15738,0.16807,0.10056,2.04837,1.8665,0.97532,0.0009704,0.0009704,0.0009704
28,46.0144,2.27415,1.8162,0.98233,0.41756,0.162,0.16691,0.08815,2.28605,1.90531,0.97981,0.0009308,0.0009308,0.0009308
29,47.5347,2.26204,1.8192,0.97036,0.4108,0.15676,0.16212,0.09338,2.09442,1.87063,0.96376,0.0008912,0.0008912,0.0008912
30,50.4023,2.27299,1.80854,0.96928,0.40661,0.15491,0.15432,0.09122,2.15067,1.89605,0.97386,0.0008516,0.0008516,0.0008516
31,53.0733,2.23909,1.81341,0.97552,0.42313,0.15522,0.16037,0.09889,2.04509,1.86905,0.96701,0.000812,0.000812,0.000812
32,78.1236,2.29189,1.78227,0.97192,0.3963,0.16032,0.16958,0.09657,2.10438,1.82441,0.96843,0.0007724,0.0007724,0.0007724
33,80.9622,2.24215,1.78874,0.97919,0.38373,0.16538,0.17227,0.09716,2.10539,1.83441,0.96812,0.0007328,0.0007328,0.0007328
34,83.6738,2.34407,1.82603,0.9725,0.40163,0.16261,0.16786,0.10188,1.99146,1.81208,0.9624,0.0006932,0.0006932,0.0006932
35,87.0829,2.30275,1.79026,0.96809,0.42162,0.15491,0.17031,0.10901,1.91474,1.78235,0.96014,0.0006536,0.0006536,0.0006536
36,90.2529,2.23372,1.80174,0.97485,0.44216,0.14875,0.16396,0.09856,2.08654,1.87142,0.97574,0.000614,0.000614,0.000614
37,91.9621,2.17163,1.78837,0.97181,0.45073,0.15491,0.16395,0.09733,2.14397,1.83921,0.98785,0.0005744,0.0005744,0.0005744
38,94.924,2.15813,1.74208,0.96744,0.44308,0.1583,0.16312,0.10879,1.92185,1.80995,0.96909,0.0005348,0.0005348,0.0005348
39,96.4544,2.24784,1.7765,0.96307,0.42098,0.16107,0.16513,0.10468,1.95872,1.79913,0.96137,0.0004952,0.0004952,0.0004952
40,99.3233,2.22002,1.77112,0.96599,0.4012,0.17,0.17939,0.10671,2.03208,1.77559,0.97148,0.0004556,0.0004556,0.0004556
41,103.626,1.97214,1.87544,0.96236,0.40137,0.15584,0.17422,0.09083,2.27278,1.87711,0.99946,0.000416,0.000416,0.000416
