epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.88936,3.1848,3.41355,1.42413,0.03869,0.11937,0.02166,0.00709,2.0569,3.50057,0.97681,0.00032,0.00032,0.00032
2,5.84577,1.89518,2.37668,0.94572,0.04899,0.15113,0.02821,0.00931,2.09669,3.30938,0.97472,0.000646932,0.000646932,0.000646932
3,7.7615,1.85507,1.63521,0.93121,0.08696,0.26829,0.05704,0.02574,2.12975,2.7468,0.974,0.0009604,0.0009604,0.0009604
4,9.60329,1.63454,1.27414,0.90145,0.09384,0.28951,0.0874,0.04002,1.94681,2.36848,0.95379,0.0012604,0.0012604,0.0012604
5,11.4604,1.66692,1.19842,0.91132,0.17593,0.29693,0.114,0.05867,1.96076,1.84179,0.96135,0.00154694,0.00154694,0.00154694
6,13.3199,1.57871,1.11259,0.89425,0.20142,0.28586,0.11778,0.04518,2.44032,1.71359,1.00835,0.001802,0.001802,0.001802
7,15.1204,1.53007,1.0969,0.88825,0.21407,0.30287,0.12285,0.05759,2.23679,1.75391,0.98926,0.0017624,0.0017624,0.0017624
8,16.9674,1.59839,1.09759,0.89055,0.2056,0.27441,0.1142,0.02774,3.22812,2.01579,1.10937,0.0017228,0.0017228,0.0017228
9,18.7821,1.33611,1.03389,0.8719,0.2307,0.31138,0.13274,0.07204,1.82798,1.74899,0.93696,0.0016832,0.0016832,0.0016832
10,20.6537,1.52759,1.05692,0.88174,0.24071,0.31515,0.13696,0.09251,1.5248,2.13561,0.9228,0.0016436,0.0016436,0.0016436
11,22.5858,1.34205,1.03479,0.86548,0.2397,0.31333,0.13767,0.09161,1.58424,2.04206,0.93917,0.001604,0.001604,0.001604
12,24.4176,1.50599,1.05416,0.87335,0.23884,0.31515,0.13846,0.09962,1.315,2.08765,0.89798,0.0015644,0.0015644,0.0015644
13,26.2657,1.28571,1.00595,0.86071,0.23586,0.32023,0.13877,0.09719,1.31216,1.80546,0.89893,0.0015248,0.0015248,0.0015248
14,28.093,1.34721,1.00679,0.85847,0.23771,0.31684,0.13675,0.08775,1.5058,1.89033,0.89854,0.0014852,0.0014852,0.0014852
15,29.8919,1.22317,0.9956,0.86,0.23947,0.31593,0.14214,0.10378,1.2305,1.98469,0.89045,0.0014456,0.0014456,0.0014456
16,31.759,1.17893,0.98366,0.85146,0.23964,0.31398,0.14154,0.10548,1.20957,1.93458,0.88487,0.001406,0.001406,0.001406
17,33.6112,1.2032,0.96923,0.84879,0.23398,0.31567,0.13954,0.05995,2.39015,2.08986,0.96917,0.0013664,0.0013664,0.0013664
18,35.4131,1.25201,1.00033,0.85532,0.23313,0.30565,0.13842,0.04921,2.71581,2.16768,1.00913,0.0013268,0.0013268,0.0013268
19,37.2314,1.31716,0.9764,0.85853,0.23885,0.31697,0.14163,0.09668,1.36198,1.86142,0.88999,0.0012872,0.0012872,0.0012872
20,39.0414,1.15102,0.96083,0.84547,0.23504,0.31906,0.13721,0.06077,2.3065,1.92936,0.96331,0.0012476,0.0012476,0.0012476
21,40.952,1.25244,0.97399,0.85882,0.23776,0.32231,0.14,0.08965,1.46909,1.86117,0.89094,0.001208,0.001208,0.001208
22,42.7726,1.1989,0.99204,0.85128,0.24162,0.31854,0.14065,0.10156,1.30256,1.92325,0.89962,0.0011684,0.0011684,0.0011684
23,44.6053,1.17655,0.94813,0.85078,0.24398,0.31789,0.1427,0.10418,1.23329,1.7948,0.88739,0.0011288,0.0011288,0.0011288
24,46.4302,1.25526,0.98215,0.85452,0.24512,0.31997,0.14465,0.10573,1.24068,1.99057,0.88595,0.0010892,0.0010892,0.0010892
25,48.2751,1.08733,0.92469,0.83776,0.24118,0.31789,0.14196,0.08442,1.70928,1.74959,0.90544,0.0010496,0.0010496,0.0010496
26,50.0839,1.12187,0.92433,0.84055,0.24115,0.32179,0.14426,0.10959,1.15444,1.84088,0.87778,0.00101,0.00101,0.00101
27,51.9758,1.17492,0.92183,0.84434,0.23972,0.32127,0.14655,0.09973,1.42153,1.97997,0.88531,0.0009704,0.0009704,0.0009704
28,53.7908,1.14218,0.91325,0.83777,0.24563,0.31946,0.14715,0.11237,1.08555,1.71297,0.87061,0.0009308,0.0009308,0.0009308
29,55.645,1.17415,0.91792,0.84161,0.24685,0.31528,0.14765,0.11446,1.08708,1.87689,0.87394,0.0008912,0.0008912,0.0008912
30,57.4865,1.03231,0.90295,0.83934,0.24451,0.32179,0.14961,0.11288,1.13294,1.789,0.87626,0.0008516,0.0008516,0.0008516
31,59.4144,0.99343,0.88293,0.83006,0.24572,0.32288,0.14922,0.11409,1.12385,1.87125,0.87503,0.000812,0.000812,0.000812
32,61.2442,1.07371,0.8864,0.8355,0.24846,0.31867,0.15162,0.11613,1.06903,1.83343,0.87041,0.0007724,0.0007724,0.0007724
33,63.0918,1.01356,0.88589,0.82546,0.24758,0.31932,0.1501,0.11832,0.99472,1.73885,0.8672,0.0007328,0.0007328,0.0007328
34,64.9239,0.97298,0.88037,0.82714,0.24787,0.31399,0.14998,0.1012,1.41265,1.78198,0.8847,0.0006932,0.0006932,0.0006932
35,66.7222,0.93384,0.87714,0.82873,0.24892,0.31554,0.1509,0.10908,1.22171,1.88014,0.87657,0.0006536,0.0006536,0.0006536
36,68.5465,0.97717,0.86986,0.82787,0.24847,0.32361,0.15306,0.11382,1.16746,1.8627,0.8685,0.000614,0.000614,0.000614
37,70.3652,1.04726,0.86913,0.83461,0.24803,0.32205,0.15196,0.11663,1.08601,1.77143,0.87211,0.0005744,0.0005744,0.0005744
38,72.1584,1.08835,0.8824,0.83025,0.25497,0.31294,0.15353,0.12175,1.00546,1.75203,0.87136,0.0005348,0.0005348,0.0005348
39,74.0036,0.97875,0.85808,0.83098,0.2487,0.32166,0.15376,0.11935,1.0189,1.85406,0.86739,0.0004952,0.0004952,0.0004952
40,76.0946,0.98504,0.84711,0.82996,0.25442,0.3148,0.15422,0.12206,1.02733,1.8163,0.86953,0.0004556,0.0004556,0.0004556
41,79.4907,0.89893,0.91401,0.8253,0.25711,0.31893,0.15346,0.11945,1.02698,1.56875,0.86429,0.000416,0.000416,0.000416
42,81.2744,0.89594,0.89573,0.82418,0.25212,0.31593,0.14907,0.11404,1.1224,1.80826,0.87375,0.0003764,0.0003764,0.0003764
43,82.9132,0.88099,0.87349,0.82385,0.25138,0.31528,0.15092,0.11726,1.05752,1.9528,0.86841,0.0003368,0.0003368,0.0003368
44,84.509,0.92674,0.8934,0.82326,0.2525,0.32413,0.1547,0.12285,0.97104,1.84533,0.86136,0.0002972,0.0002972,0.0002972
45,86.1499,0.84269,0.86713,0.81879,0.25049,0.32426,0.15356,0.11611,1.11133,1.82674,0.86983,0.0002576,0.0002576,0.0002576
46,87.723,0.85074,0.83889,0.82078,0.2521,0.31465,0.15507,0.12363,0.98762,1.75567,0.86586,0.000218,0.000218,0.000218
47,89.3515,0.78079,0.82171,0.81468,0.25268,0.32361,0.15729,0.12247,1.02643,1.72805,0.86616,0.0001784,0.0001784,0.0001784
48,90.944,0.81264,0.83917,0.81813,0.25877,0.31467,0.1576,0.12613,0.9478,1.71748,0.86181,0.0001388,0.0001388,0.0001388
49,92.6656,0.77525,0.81945,0.81844,0.2575,0.31389,0.15786,0.12509,0.99313,1.70194,0.86509,9.92e-05,9.92e-05,9.92e-05
50,94.2594,0.76589,0.81002,0.81459,0.25935,0.31224,0.15778,0.12614,0.98161,1.67625,0.86573,5.96e-05,5.96e-05,5.96e-05
